Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN1375.1,-0.00025,"(-0.00072,0.00022)",0.2945,0.658,"Protease subunit of ATP-dependent Clp proteases|Protease subunit of ATP-dependent Clp proteases|Protease subunit of ATP-dependent Clp proteases|Protease subunit of ATP-dependent Clp proteases|diguanylate cyclase (GGDEF) domain|Archaeal IMP cyclohydrolase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|Aspartate/tyrosine/aromatic aminotransferase|tRNA:m(5)U-54 methyltransferase|phosphoglycerate mutase|phosphoglycerate mutase|phosphoglycerate mutase|phosphoglycerate mutase|phosphoglycerate mutase|phosphoglycerate mutase|phosphoglycerate mutase|ribosome-associated GTPase EngA|Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase|Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase|Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase|Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase|Ketopantoate reductase|Isochorismatase family.|Isochorismatase family.|Cysteine synthase|Cysteine synthase|Cysteine synthase|Cysteine synthase|ADP-ribose pyrophosphatase|chaperonin GroL|RNAse R|Oxaloacetate decarboxylase, gamma chain.|ATP-dependent DNA helicase PcrA|Aspartate carbamoyltransferase, regulatory subunit|prolipoprotein diacylglyceryl transferase|23S rRNA m(2)A-2503 methyltransferase|ribosome small subunit-dependent GTPase A|UDP-N-acetylenolpyruvoylglucosamine reductase|dihydrodipicolinate synthase|S-adenosylmethionine--tRNA ribosyltransferase-isomerase|DNA repair protein RadA|DNA repair protein RadA|putative nicotinate phosphoribosyltransferase|Acyl-ACP thioesterase|Aspartyl aminopeptidase|Thymidine phosphorylase|Predicted ATPase (AAA+ superfamily)|Predicted oxidoreductases of the aldo/keto reductase family|Mg chelatase-related protein|Uridine kinase|Uridine kinase|Uridine kinase|Uridine kinase|Predicted ATPase|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase./Histidine kinase.|Transposase.|Dipeptidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Beta-galactosidase/beta-glucuronidase|Pectin methylesterase|Pectin methylesterase|Lysophospholipase|Lysophospholipase|Lysophospholipase|Shikimate 5-dehydrogenase|pullulanase, type I|pullulanase, type I|Predicted NADH:ubiquinone oxidoreductase, subunit RnfA|Predicted NADH:ubiquinone oxidoreductase, subunit RnfA|Predicted NADH:ubiquinone oxidoreductase, subunit RnfE|Predicted NADH:ubiquinone oxidoreductase, subunit RnfE|Predicted NADH:ubiquinone oxidoreductase, subunit RnfD|Predicted NADH:ubiquinone oxidoreductase, subunit RnfD|Predicted ATPase (AAA+ superfamily)|Alanyl-tRNA synthetase|Ribose 5-phosphate isomerase RpiB|diguanylate cyclase (GGDEF) domain|ADP-ribose pyrophosphatase|Desulfoferrodoxin|carboxynorspermidine decarboxylase|DNA primase (bacterial type)|23S rRNA m(5)U-1939 methyltransferase|hydroxylamine reductase|hydroxylamine reductase|hydroxylamine reductase|DNA repair protein radc|DNA repair protein radc|DNA primase (bacterial type)|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases|16S rRNA m(7)G-527 methyltransferase|Aspartyl aminopeptidase|Ketopantoate reductase|Fructose-2,6-bisphosphatase|Acetyl-CoA hydrolase|beta-hydroxyacyl-[acyl carrier protein] dehydratase FabZ|beta-hydroxyacyl-[acyl carrier protein] dehydratase FabZ|L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases|L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases|L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases|holo-ACP synthase CitX/triphosphoribosyl-dephospho-CoA synthase CitG|Predicted ATPase|Membrane-associated phospholipid phosphatase|ATP-dependent DNA helicase, RecQ family|Reverse transcriptase (RNA-dependent DNA polymerase).|tRNA-dihydrouridine synthase|Predicted NADH:ubiquinone oxidoreductase, subunit RnfB|Predicted NADH:ubiquinone oxidoreductase, subunit RnfB|Predicted NADH:ubiquinone oxidoreductase, subunit RnfG|Predicted NADH:ubiquinone oxidoreductase, subunit RnfG|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|Phosphopantothenoylcysteine synthetase/decarboxylase|Phosphopantothenoylcysteine synthetase/decarboxylase|Phosphopantothenoylcysteine synthetase/decarboxylase|Phosphopantothenoylcysteine synthetase/decarboxylase|tRNA-adenosine deaminase|AhpC/TSA family.|6,7-dimethyl-8-ribityllumazine synthase|Endopolygalacturonase|G:T/U mismatch-specific DNA glycosylase|G:T/U mismatch-specific DNA glycosylase|G:T/U mismatch-specific DNA glycosylase|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Pyridine nucleotide-disulphide oxidoreductase.|UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase|Glycerophosphoryl diester phosphodiesterase|Glycerophosphoryl diester phosphodiesterase|Glycerophosphoryl diester phosphodiesterase|Glycerophosphoryl diester phosphodiesterase|Peptidase E|Predicted ATPase (AAA+ superfamily)|GTP cyclohydrolase subunit MoaA|GTP cyclohydrolase subunit MoaA|GTP cyclohydrolase subunit MoaA|GTP cyclohydrolase subunit MoaA|GTP cyclohydrolase subunit MoaC|GTP cyclohydrolase subunit MoaC|GTP cyclohydrolase subunit MoaC|GTP cyclohydrolase subunit MoaC|Aldehyde:ferredoxin oxidoreductase|FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)|tRNA (guanine-N1)-methyltransferase|tRNA (guanine-N1)-methyltransferase|Excinuclease ABC subunit C|Folylpolyglutamate synthase|Folylpolyglutamate synthase|Folylpolyglutamate synthase|Folylpolyglutamate synthase|DNA methylase|Serine/threonine protein phosphatase|Serine/threonine protein phosphatase|Protein kinase domain.|Protein kinase domain.|Protein kinase domain.|diguanylate cyclase (GGDEF) domain|Phosphoribosylamine-glycine ligase|Fructose-2,6-bisphosphatase|DNA primase (bacterial type)|N-acetylmuramic acid 6-phosphate etherase|Excinuclease ATPase subunit|Succinate dehydrogenase/fumarate reductase, flavoprotein subunit|Succinate dehydrogenase/fumarate reductase, flavoprotein subunit|Succinate dehydrogenase/fumarate reductase, flavoprotein subunit|Succinate dehydrogenase/fumarate reductase, flavoprotein subunit|succinate dehydrogenase and fumarate reductase iron-sulfur protein|succinate dehydrogenase and fumarate reductase iron-sulfur protein|Glycosyl Hydrolase Family 88.|Glycosyl Hydrolase Family 88.|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|ATP-dependent DNA helicase RecG|diguanylate cyclase (GGDEF) domain|Predicted phosphatase/phosphohexomutase|Pr","an oligopeptide + H2O  <-->  a peptide + a peptide|a protein + H2O  <-->  a peptide + a peptide|a protein + H2O  <-->  a peptide + a peptide|a protein + H2O  <-->  n a peptide|2 GTP  <-->  cyclic di-3',5'-guanylate + 2 diphosphate|IMP + H2O  <-->  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide|L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate|L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate|L-phenylalanine + 2-oxoglutarate  <-->  2-oxo-3-phenylpropanoate + L-glutamate|L-cysteate + 2-oxoglutarate  <-->  3-sulfopyruvate + L-glutamate|2-oxo-3-phenylpropanoate + L-glutamate  <-->  L-phenylalanine + 2-oxoglutarate|L-tyrosine + 2-oxoglutarate  <-->  4-hydroxyphenylpyruvate + L-glutamate|an aromatic amino acid + 2-oxoglutarate  <-->  an aromatic oxo-acid + L-glutamate|L-methionine + 2-oxoglutarate  <-->  2-oxo-4-methylthiobutanoate + L-glutamate|a uracil54 in tRNA + S-adenosyl-L-methionine  <-->  a 5-methyluracil54 in tRNA + S-adenosyl-L-homocysteine + H+|2-phospho-D-glycerate  <-->  3-phospho-D-glycerate|2,3-diphospho-D-glycerate + H2O  <-->  3-phospho-D-glycerate + phosphate|2-phospho-D-glycerate  <-->  3-phospho-D-glycerate|a [protein]-L-histidine + 2,3-diphospho-D-glycerate  <-->  a [protein]-Npi-phospho-L-histidine + 2/3-phospho-D-glycerate|a [protein]-Npi-phospho-L-histidine + 2-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate|a [protein]-L-histidine + 2,3-diphospho-D-glycerate  <-->  a [protein]-Npi-phospho-L-histidine + 3-phospho-D-glycerate|a [protein]-Npi-phospho-L-histidine + 2/3-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate|GTP + H2O  <-->  GDP + phosphate + H+|a purine ribonucleoside 5'-triphosphate + adenosylcobinamide  <-->  adenosyl-cobinamide phosphate + a purine ribonucleoside 5'-diphosphate + H+|adenosylcobinamide + ATP  <-->  adenosyl-cobinamide phosphate + ADP + H+|adenosylcobinamide + GTP  <-->  adenosyl-cobinamide phosphate + GDP + H+|adenosyl-cobinamide phosphate + GTP + H+  <-->  adenosylcobinamide-GDP + diphosphate|(R)-pantoate + NADP+  <-->  2-dehydropantoate + NADPH + H+|isochorismate + H2O  <-->  pyruvate + (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate|isochorismate + H2O  <-->  pyruvate + (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate|O-acetyl-L-serine + hydrogen sulfide  <-->  L-cysteine + acetate + H+|O-acetyl-L-serine + hydrogen selenide  <-->  L-selenocysteine + acetate + 2 H+|O-acetyl-L-serine + thiosulfate  <-->  S-sulfo-L-cysteine + acetate + H+|L-homocysteine + L-serine  <-->  L-cystathionine + H2O|ADP-D-ribose + H2O  <-->  AMP + D-ribofuranose 5-phosphate + 2 H+|ATP + H2O  <-->  ADP + phosphate + H+|RNase R degradation substrate RNA + n-1 H2O  <-->  n-2 a nucleoside 5'-monophosphate + a diribonucleotide|oxaloacetate + H+  <-->  pyruvate + CO2|a supercoiled duplex DNA + ATP  <-->  a single stranded DNA + ADP + phosphate|L-aspartate + carbamoyl-phosphate  <-->  N-carbamoyl-L-aspartate + phosphate + H+|a prolipoprotein + an L-1-phosphatidyl-glycerol  <-->  a diacylglycerol prolipoprotein + sn-glycerol 1-phosphate|2 S-adenosyl-L-methionine + adenine2503 in 23S rRNA  <-->  S-adenosyl-L-homocysteine + L-methionine + 5'-deoxyadenosine + 2-methyladenine2503 in 23S rRNA|GTP + H2O  <-->  GDP + phosphate + H+|UDP-N-alpha-D-acetylmuramate + NADP+  <-->  UDP-N-acetyl-alpha-D-glucosamine-enolpyruvate + NADPH + H+|pyruvate + L-aspartate-semialdehyde  <-->  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + H2O + H+|a 7-aminomethyl-7-deazaguanosine34 in tRNA + S-adenosyl-L-methionine  <-->  an epoxyqueuosine34 in tRNA + adenine + L-methionine + 2 H+|(deoxynucleotides)(m) + ATP + (deoxynucleotides)n  <-->  AMP + (deoxynucleotides)(n+m) + diphosphate|(deoxynucleotides)(m) + (deoxynucleotides)(n) + NAD+  <-->  (deoxynucleotides)(n+m) + beta-nicotinamide D-ribonucleotide + AMP|nicotinate + 5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O  <-->  beta-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate|an acyl-[acyl-carrier protein] + H2O  <-->  a fatty acid + a holo-[acyl-carrier protein] + H+|a protein + H2O  <-->  a peptide + a peptide|thymidine + phosphate  <-->  2-deoxy-alpha-D-ribose 1-phosphate + thymine|ATP + H2O  <-->  ADP + phosphate + H+|a (1',5'-dihydroxy-3'-oxo-2'-(3''-oxobutanoyl)cyclohexyl)-3,5-dioxohexanethioate-[PKS-acp] + NADP+  <-->  a (1'-hydroxy-3',5'-dioxo-2'-(3''-oxobutanoyl)cyclohexyl)-3,5-dioxohexanethioate-[PKS-acp] + NADPH + H+|ATP + protoporphyrin IX + Mg2+ + H2O  <-->  Mg-protoporphyrin + ADP + phosphate + 3 H+|uridine + ATP  <-->  UMP + ADP + H+|uridine + GTP  <-->  UMP + GDP + H+|cytidine + GTP  <-->  CMP + GDP + H+|cytidine + ATP  <-->  CMP + ADP + H+|ATP + H2O  <-->  ADP + phosphate + H+|a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+|an insertion sequence element IS30  <-->  an insertion sequence IS30 with integrated transposon|a dipetide with an N-terminal L-aspartate + H2O  <-->  L-aspartate + a standard alpha amino acid|a beta-D-galactoside + H2O  <-->  a non galactosylated galactose acceptor + beta-D-galactose|alpha-lactose  <-->  allolactose|alpha-lactose + H2O  <-->  beta-D-galactose + beta-D-glucose|3'-ketolactose + H2O  <-->  3-keto-beta-D-galactose + beta-D-glucose|XXLG xyloglucan oligosaccharide + H2O  <-->  XXXG xyloglucan oligosaccharide + beta-D-galactose|XLXG xyloglucan oligosaccharide + H2O  <-->  XXXG xyloglucan oligosaccharide + beta-D-galactose|XLLG xyloglucan oligosaccharide + 2 H2O  <-->  XXXG xyloglucan oligosaccharide + 2 beta-D-galactose|a beta-D-glucuronoside + H2O  <-->  D-glucopyranuronate + an alcohol|luteolin 7-O-[beta-D-glucuronosyl-(1,2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide + H2O  <-->  luteolin 7-O-beta-D-diglucuronide + beta-D-glucuronate|luteolin 7-O-beta-D-glucuronide + H2O  <-->  luteolin + beta-D-glucuronate + H+|a pectin + n H2O  <-->  a pectate + n methanol|methylesterified 1,4-alpha-D-galactosyluronate + H2O  <-->  a homogalacturonan + methanol|a 2-acyl 1-lyso-phosphatidylcholine + H2O  <-->  a carboxylate + L-1-glycero-3-phosphocholine + H+|a phosphatidylcholine + 2 H2O  <-->  L-1-glycero-3-phosphocholine + 2 a carboxylate + 2 H+|1-18:1-lysophosphatidylethanolamine + H2O  <-->  L-1-glycerophosphorylethanolamine + oleate + H+|shikimate + NADP+  <-->  3-dehydroshikimate + NADPH + H+|a large-branched glucan + n H2O  <-->  n a long-linear glucan|pullulan + n H2O  <-->  n maltotriose|NADH + a ubiquinone + 5 H+  <-->  NAD+ + an ubiquinol + 4 H+|NADH + a ubiquinone + H+  <-->  NAD+ + an ubiquinol|NADH + a ubiquinone + 5 H+  <-->  NAD+ + an ubiquinol + 4 H+|NADH + a ubiquinone + H+  <-->  NAD+ + an ubiquinol|NADH + a ubiquinone + 5 H+  <-->  NAD+ + an ubiquinol + 4 H+|NADH + a ubiquinone + H+  <-->  NAD+ + an ubiquinol|ATP + H2O  <-->  ADP + phosphate + H+|a tRNAala + L-alanine + ATP + H+  <-->  an L-alanyl-[tRNAala] + AMP + diphosphate|D-ribose 5-phosphate  <-->  D-ribulose 5-phosphate|2 GTP  <-->  cyclic di-3',5'-guanylate + 2 diphosphate|ADP-D-ribose + H2O  <-->  AMP + D-ribofuranose 5-phosphate + 2 H+|superoxide + a reduced rubredoxin + 2 H+  <-->  hydrogen peroxide + an oxidized rubredoxin|carboxynorspermidine + H+  <-->  norspermidine + CO2|a single stranded DNA  <-->  a short RNA Segment|a uracil1939 in 23S rRNA + S-adenosyl-L-methionine  <-->  a 5-methyluracil1939 in 23S rRNA + S-adenosyl-L-homocysteine + H+|hydroxylamine + 2 an oxidized c-type cytochrome + H2O  <-->  nitrite + 2 a reduced c-type cytochrome + 5 H+|ammonium + an oxidized unknown electron acceptor + H2O  <-->  hydroxylamine + an reduced unknown electron acceptor + H+|ammonium + NAD+ + H2O  <-->  hydroxylamine + NADH + 2 H+|(deoxynucleotides)(m) + ATP + (deoxynucleotides)n  <-->  AMP + (deoxynucleotides)(n+m) + diphosphate|(deoxynucleotides)(m) + (deoxynucleotides)(n) + NAD+  <-->  (deoxynucleotides)(n+m) + beta-nicotinamide D-ribonucleotide + AMP|a single stranded DNA  <-->  a short RNA Segment|a lipid II + H2O  <-->  a N-acetylglucosamine--N-acetylmuramyl-(tetrapeptide) pyrophosphoryl-undecaprenol + D-alanine|UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + H2O  <-->  UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamm"
ENZRXN1375.238,0.0002,"(-0.00018,0.00058)",0.2978,0.658,acetylornithine aminotransferase apoenzyme,"2-oxoglutarate + N-succinyl-L,L-2,6-diaminopimelate  <-->  L-glutamate + N-succinyl-2-amino-6-ketopimelate"
ENZRXNMU3.177,-0.00093,"(-0.00268,0.00081)",0.2989,0.658,NA,NA
ENZRXN1375.1208,0.0003,"(-0.00026,0.00087)",0.2992,0.658,thymidylate kinase,ATP + dTMP  <-->  ADP + dTDP
ENZRXN121H.854,0.00054,"(-0.00047,0.00154)",0.2997,0.658,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase,L-homocysteine + L-serine  <-->  L-cystathionine + H2O
ENZRXN1375.236,0.00027,"(-0.00024,0.00078)",0.3018,0.658,ornithine carbamoyltransferase,L-ornithine + carbamoyl-phosphate  <-->  L-citrulline + phosphate + H+
ENZRXN1375.1214,0.00074,"(-0.00065,0.00213)",0.3036,0.658,Cell division protein FtsI/penicillin-binding protein 2,"[GlcNAc-(1->4)-MurNAc-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine]n-diphosphoundecaprenol + undecaprenyldiphospho-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine  <-->  di-trans,octa-cis-undecaprenyl diphosphate + [GlcNAc-(1->4)-MurNAc-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine](n+1)-diphosphoundecaprenol"
ENZRXN1375.1039,0.00026,"(-0.00023,0.00074)",0.304,0.658,Germination protease.,a protein + H2O  <-->  a peptide + a peptide
ENZRXN1375.1183,0.00026,"(-0.00023,0.00076)",0.3046,0.658,Serine/threonine protein phosphatase,a [protein] (L-serine/L-threonine) phosphate + H2O  <-->  a [protein]-(L-serine/L-threonine) + phosphate
ENZRXN1375.1056,0.0004,"(-0.00036,0.00115)",0.3049,0.658,peptidyl-tRNA hydrolase,an N-modified aminoacyl-[tRNA] + H2O  <-->  a tRNA + an N-modified amino acid + 2 H+
ENZRXN1375.1475,-0.00032,"(-0.00094,0.00029)",0.3071,0.659,DNA repair protein radc,(deoxynucleotides)(m) + (deoxynucleotides)(n) + NAD+  <-->  (deoxynucleotides)(n+m) + beta-nicotinamide D-ribonucleotide + AMP
ENZRXN1375.1497,0.00023,"(-0.00022,0.00067)",0.321,0.679,"pullulanase, type I",pullulan + n H2O  <-->  n maltotriose
ENZRXN1375.1135,-0.00031,"(-0.00092,0.0003)",0.3214,0.679,dephospho-CoA kinase,3'-dephospho-CoA + ATP  <-->  ADP + coenzyme A + H+
ENZRXN1375.1323,0.00019,"(-0.00018,0.00055)",0.3228,0.679,L-glutamine synthetase,ammonium + L-glutamate + ATP  <-->  L-glutamine + ADP + phosphate + H+
ENZRXN1375.28,-0.00045,"(-0.00136,0.00045)",0.3313,0.688,fructose-1-phosphate kinase|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II|Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II,"ATP + beta-D-fructofuranose 1-phosphate  <-->  ADP + fructose 1,6-bisphosphate + H+|linoleate + ATP + coenzyme A  <-->  linoleoyl-CoA + AMP + diphosphate|oleate + ATP + coenzyme A  <-->  oleoyl-CoA + AMP + diphosphate|palmitate + ATP + coenzyme A  <-->  palmitoyl-CoA + AMP + diphosphate|a long-chain fatty acid + ATP + coenzyme A  <-->  a long-chain acyl-CoA + AMP + diphosphate|pristanate + ATP + coenzyme A  <-->  pristanoyl-CoA + AMP + diphosphate|a 2-methyl branched 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 2-methyl branched 2,3,4-saturated fatty acyl-CoA + AMP + diphosphate|phytenate + ATP + coenzyme A  <-->  phytenoyl-CoA + AMP + diphosphate|an odd numbered straight chain 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  an odd numbered straight chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate|a 3-methyl-branched 2,3,4-saturated fatty acid + ATP + coenzyme A  <-->  a 3-methyl-branched 2,3,4-saturated fatty acyl-CoA + AMP + diphosphate"
ENZRXN1375.1145,0.00021,"(-0.00021,0.00062)",0.3318,0.688,Predicted sugar kinase,ATP + NAD+  <-->  ADP + NADP+ + H+
ENZRXN1375.1550,-0.00029,"(-0.00089,0.0003)",0.3341,0.688,Ketopantoate reductase,(R)-pantoate + NADP+  <-->  2-dehydropantoate + NADPH + H+
ENZRXNM9K.23,0.00047,"(-0.00048,0.00142)",0.3368,0.688,"catalase|catalase|catalase|carboxynorspermidine decarboxylase|superoxide dismutase [Fe]|pyruvate, phosphate dikinase|RluA family pseudouridine synthase|UDP-N-acetylglucosamine 2-epimerase|UDP-N-acetylglucosamine 2-epimerase|methionine aminopeptidase, type I|UDP-N-acetylglucosamine 4,6-dehydratase","2 hydrogen peroxide  <-->  2 H2O + oxygen|ethanol + hydrogen peroxide  <-->  acetaldehyde + 2 H2O|methanol + hydrogen peroxide  <-->  formaldehyde + 2 H2O|carboxynorspermidine + H+  <-->  norspermidine + CO2|2 superoxide + 2 H+  <-->  hydrogen peroxide + oxygen|pyruvate + ATP + phosphate  <-->  phosphoenolpyruvate + AMP + diphosphate + H+|a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA|UDP-N-acetyl-alpha-D-glucosamine  <-->  UDP-N-acetyl-alpha-D-mannosamine|UDP-N-acetyl-alpha-D-glucosamine + H2O  <-->  N-acetyl-alpha-D-mannosamine + UDP + H+|a peptide with an N-terminal L-methionine + H2O  <-->  L-methionine + a peptide|UDP-N-acetyl-alpha-D-glucosamine  <-->  UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexul-4-ose + H2O"
ENZRXN1375.1041,0.00035,"(-0.00036,0.00107)",0.3381,0.688,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",an n-alkanal + NAD(P)+  <-->  an alk-2-enal + NAD(P)H + H+
ENZRXN1375.480,-0.00034,"(-0.00105,0.00036)",0.3406,0.688,UDP-N-acetylmuramate--L-alanine ligase,L-alanine + UDP-N-alpha-D-acetylmuramate + ATP  <-->  UDP-N-acetylmuramoyl-L-alanine + ADP + phosphate + H+
ENZRXN1375.469,-0.00035,"(-0.00108,0.00037)",0.3417,0.688,ornithine carbamoyltransferase,L-ornithine + carbamoyl-phosphate  <-->  L-citrulline + phosphate + H+
ENZRXN1375.1068,0.00015,"(-0.00016,0.00047)",0.3459,0.692,Beta-galactosidase/beta-glucuronidase,a beta-D-galactoside + H2O  <-->  a non galactosylated galactose acceptor + beta-D-galactose
ENZRXN1375.1428,0.00022,"(-0.00024,0.00069)",0.3511,0.694,tRNA-adenosine deaminase,an adenosine34 in [tRNAArg2] + H+ + H2O  <-->  an inosine34 in [tRNAArg2] + ammonium
ENZRXN1375.1318,0.00035,"(-0.00038,0.00109)",0.3526,0.694,Peptidyl-prolyl cis-trans isomerase (rotamase)-cyclophilin family,a [protein]-L-proline (omega = 180)  <-->  a [protein]-L-proline (omega = 0)
ENZRXN1375.255,-0.00052,"(-0.00163,0.00059)",0.3579,0.694,Uroporphyrinogen-III decarboxylase,uroporphyrinogen-I + 4 H+  <-->  coproporphyrinogen I + 4 CO2
ENZRXNH1N.881,-0.0006,"(-0.00187,0.00067)",0.3586,0.694,acetylglutamate kinase,an [L-2-aminoadipate carrier protein]-L-glutamate + ATP  <-->  an [L-2-aminoadipate carrier protein]-L-glutamate 5-phosphate + ADP
ENZRXN1375.436,0.0002,"(-0.00023,0.00063)",0.3591,0.694,Alkaline phosphatase,a phosphate monoester + H2O  <-->  an alcohol + phosphate
ENZRXN1375.1407,0.0002,"(-0.00023,0.00062)",0.3618,0.694,GTP cyclohydrolase subunit MoaA,"GTP + H2O  <-->  7,8-dihydroneopterin 2',3'-cyclic phosphate + formate + diphosphate + H+"
ENZRXN1375.296,0.0002,"(-0.00023,0.00063)",0.3618,0.694,hydroxyethylthiazole kinase,ATP + 4-methyl-5-(beta-hydroxyethyl)thiazole  <-->  ADP + 4-methyl-5-(2-phosphonooxyethyl)thiazole + H+
ENZRXN1375.972,-0.00027,"(-0.00085,0.00031)",0.3649,0.696,NA,NA
ENZRXN1375.1551,0.00027,"(-0.00033,0.00087)",0.3765,0.713,Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase,adenosyl-cobinamide phosphate + GTP + H+  <-->  adenosylcobinamide-GDP + diphosphate
ENZRXN1375.717,-0.00026,"(-0.00085,0.00032)",0.3807,0.713,Undecaprenyl-diphosphatase,"di-trans,octa-cis-undecaprenyl diphosphate + H2O  <-->  di-trans,octa-cis-undecaprenyl phosphate + phosphate + H+"
ENZRXNHUL.389,0.00049,"(-0.0006,0.00157)",0.3817,0.713,O-acetylhomoserine/O-acetylserine sulfhydrylase,O-acetyl-L-homoserine + hydrogen sulfide  <-->  L-homocysteine + acetate + H+
ENZRXN1375.306,0.00031,"(-0.00038,0.00099)",0.3828,0.713,"3-isopropylmalate dehydratase, small subunit",(2S)-2-isopropylmalate  <-->  2-isopropylmaleate + H2O
